id;ma_cv;ten_chuc_vu;phu_cap;ghi_chu
1;plug-and-p;Administrator Networked;Cross-grou;Berkshire Practical payment
2;Customer;distributed black;copying;uniform utilize Uruguay
3;Route Hand;Producer payment;Communicat;invoice Synergized system
4;withdrawal;Computer multi-state;Towels;pink PNG Clothing
5;copying Er;input Zimbabwe;COM Frozen;Jewelery Bedfordshire
6;content e-;calculating Hat;Ergonomic;Games
7;Oklahoma;whiteboard input withdrawal;service-de;Pizza synergistic
8;Ferry;generation portals;Pizza;Vision-oriented disintermediate HDD
9;synthesize;haptic;deposit;Games Technician Account
10;Mông to;collaboration;Lạp Refine;Dirham
