id;soqd;ngay_qd;ten;loai;hinh_thuc;so_tien;noi_dung
1;protocol I;2023-04-18T18:02:05;unleash bandwidth-mo;infomediaries interf;Valley Montenegro in;calculating;encryption
2;Rubber Pra;2023-04-19T00:45:53;Iceland withdrawal V;Crossroad Networked;Plastic Forward;Borders;Mountains Concrete
3;bluetooth;2023-04-18T09:19:06;Clothing;even-keeled;SMTP red;Music;Principal
4;Wooden;2023-04-18T10:49:47;Gardens web-readines;primary installation;Rustic;Plastic;Borders tan Mouse
5;Rustic Acc;2023-04-18T23:36:48;info-mediaries;markets definition;purple;Designer;Fish Berkshire
6;connecting;2023-04-18T10:04:03;program;up capacitor;Buckinghamshire plum;Bedfordshire scale;integrate card
7;sensor;2023-04-18T19:58:13;indigo;bandwidth;full-range Wells Pro;salmon Generic missi;Kansas
8;invoice;2023-04-18T12:53:37;Wyoming red;hack Glen overriding;Steel;Liberian invoice Qat;ADP
9;Berkshire ;2023-04-18T03:41:49;clear-thinking Track;Market;fresh-thinking Accou;protocol;Oregon
10;architect ;2023-04-18T14:39:05;Dynamic;open-source Cotton p;Liaison Team-oriente;York synthesize;programming Gloves
