id;ma_luong;he_so_luong;luong_cb;he_so_phu_cap;khoan_cong_them;khoan_tru
1;Plastic in;Practical;Bedfordshire;open-source;National best-of-bre;Lesotho
2;Cheese act;haptic;azure Indiana;neural;synthesize;Metal
3;Washington;Manat Dina;paradigm;Devolved;payment;multimedia orchid vo
4;Toys Autom;grid-enabl;Directives Cheese Ma;Jordan Pizza;e-commerce;input
5;withdrawal;orchestrat;Balboa;THX Brand;Shoals;Cambridgeshire
6;generate S;Future-pro;withdrawal Refined C;turquoise;Gorgeous;Wooden Account Light
7;Facilitato;Lilangeni;Cross-platform withd;deposit;convergence heuristi;Buckinghamshire Cust
8;cross-plat;auxiliary ;Bedfordshire Adminis;District payment Tri;Movies;Shoes Berkshire
9;Pines Fiji;Mount Fant;User-centric Shoes s;Cambridgeshire stick;deposit;Markets Buckinghamsh
10;virtual re;Litas mage;Soft embrace Respons;International;copy radical Pants;compress compressing
