id;ma_pb;ten_pb;s_dt
1;azure Mone;Indiana turquoise Assistant;Mozambique cross-pla
2;Garden Bac;1080p;Tenge Program
3;Road Divis;fuchsia Beauty override;website Bedfordshire
4;experience;Lesotho Isle;Berkshire Awesome As
5;Checking R;withdrawal orange Soft;quantifying intranet
6;Vision-ori;synergies seize;Buckinghamshire Beau
7;Cambridges;Cross-platform;interfaces invoice
8;Kids;Bacon hacking Industrial;Pants Tools
9;magenta;ADP;firmware Dynamic met
10;Agent Gold;Rustic Outdoors Dollar;withdrawal Ecuador a
